,country,year,Inflation,Unemployment Rate,avg_wage,exchange_rate,old_age_dependency,pop_tertiary_ed,public_spend,working_age
392,Italy,2006,2.09084391012755,6.78000020980835,42052.4030865912,0.796433,32.3,17.283623,0.475,65.9365245428744
393,Italy,2005,1.98529298527983,7.73000001907349,41792.9012941104,0.8038,32.0,16.105026,0.469,66.2054966035196
394,Italy,2004,2.20673661423654,7.86999988555908,41244.2822031254,0.803922,31.6,14.792785,0.442,66.507156770528
395,Italy,2003,2.67255552772852,8.86999988555908,40461.0260455649,0.884048,31.1,12.695857,0.419,66.724702912604
396,Italy,2002,2.46532319171164,9.21000003814697,40572.9991356831,1.057559,30.5,12.461238,0.401,66.9413811284719
397,Italy,2001,2.78516542713555,9.60000038146973,40862.3745865276,1.116533,30.0,11.754972,0.374,67.1979748451374
398,Italy,2000,2.53768532095005,10.8400001525879,40574.8935825587,1.082705,29.2,10.429003,0.393,67.4457257536022
399,Japan,2020,-0.0249958340276592,2.79999995231628,38850.0172427144,106.774582,52.0,63.54916,0.29405555555555557,59.5245240203583
400,Japan,2019,0.468776159383912,2.40000009536743,39077.0157833559,109.009666,51.9,61.514194,0.29405555555555557,59.501891890101
401,Japan,2018,0.989094598021806,2.40000009536743,38583.6233688726,110.423179,38.56315789473683,60.730949,0.29405555555555557,59.6716881052818
402,Japan,2017,0.484199796126387,2.79999995231628,38150.9261039504,112.166141,49.9,60.426178,0.154,59.9515090854663
403,Japan,2016,-0.127258844489691,3.09999990463257,38056.0421792069,108.7929,38.56315789473683,60.120392,0.161,60.3168061278926
404,Japan,2015,0.795279630579775,3.40000009536743,37542.4742517803,121.044026,46.2,59.646538,0.174,60.806257567927
405,Japan,2014,2.75922671353253,3.59999990463257,37725.9974487493,105.944781,45.7,58.585857,0.185,61.2599669200387
406,Japan,2013,0.335037912184809,4.0,38417.8415023552,97.595658,44.0,58.368496,0.212,62.0673705522588
407,Japan,2012,-0.0440645104433029,4.3600001335144,38387.617445982,79.790455,42.2,58.554874,0.237,62.8752264325054
408,Japan,2011,-0.272455616101254,4.55000019073486,39037.3038970032,79.80702,40.5,58.721333,0.255,63.6483984692895
409,Japan,2010,-0.728243207517742,5.09999990463257,38420.9899271287,87.779875,38.9,56.70573,0.259,63.8264931481638
410,Japan,2009,-1.3528367295172,5.07000017166138,38299.657736963,93.570089,37.4,55.667507,0.343,63.9106790535961
411,Japan,2008,1.38007886164923,4.0,38855.8943836432,103.359494,36.1,55.060974,0.211,64.4510085415848
412,Japan,2007,0.0600394544986581,3.89000010490417,39170.8312732221,117.753529,34.8,53.696037,0.236,64.9711910022891
413,Japan,2006,0.249355116079115,4.19000005722046,39276.0062270851,116.299312,33.6,54.074074,0.251,65.5325281528382
414,Japan,2005,-0.282946068764459,4.44999980926514,39299.4133922074,110.218212,32.4,53.185596,0.27,66.0744434948239
415,Japan,2004,-0.00857338820302009,4.73000001907349,38313.8338144174,108.192569,31.4,52.640175,0.29,66.6285526326094
416,Japan,2003,-0.256541816316057,5.25,37684.4300093154,115.933464,30.4,51.645981,0.394,66.9226369114317
417,Japan,2002,-0.923494026942322,5.3899998664856,37652.1117113793,125.388019,29.5,50.993023,0.53,67.2546788558873
418,Japan,2001,-0.740055504162799,5.01999998092651,38428.1660132626,121.528948,28.5,48.525471,0.572,67.6709272454455
419,Japan,2000,-0.676578683595068,4.75,38823.4636854066,107.765498,27.3,47.844826,0.559,68.052690420185
420,"Korea, Rep.",2020,0.537288023411772,3.9300000667572,43341.6301363788,1180.265833,23.6,69.812752,0.2259473684210526,72.1088233272479
421,"Korea, Rep.",2019,0.383000303608079,3.75,43199.5152506013,1165.3575,22.6,69.802818,0.2259473684210526,72.6898046708245
422,"Korea, Rep.",2018,1.47583935002643,3.8199999332428,41765.2288876683,1100.163333,16.61052631578948,69.574219,0.354,72.9356919594818
423,"Korea, Rep.",2017,1.94433230786365,3.65000009536743,40374.0110243799,1131.000833,20.9,69.752068,0.287,73.1506427009696
424,"Korea, Rep.",2016,0.97168573991219,3.65000009536743,39446.5164992617,1160.7675,16.61052631578948,69.851555,0.281,73.4044703166983
425,"Korea, Rep.",2015,0.706331772455739,3.54999995231628,38323.1495521807,1130.9525,19.4,68.861946,0.274,73.3978925823446
426,"Korea, Rep.",2014,1.27477446401322,3.07999992370605,37286.9500724865,1052.84,19.0,67.665947,0.266,73.4153552847686
427,"Korea, Rep.",2013,1.30134754547411,2.75,37209.0941115754,1094.9825,18.5,67.088554,0.259,73.3983928618064
428,"Korea, Rep.",2012,2.18707104433313,2.80999994277954,36293.2522423141,1126.806667,17.9,65.603264,0.255,73.4183285357429
429,"Korea, Rep.",2011,4.02596500436097,2.99000000953674,36834.5095374574,1108.233333,17.4,63.734528,0.256,73.3930045510873
