year,unitid,inst_name,state_abbr,inst_control,institution_level
"2020","123961","University of Southern California","CA","Private not-for-profit","Four or more years"
"2020","367954","University of St. Augustine for Health Sciences","CA","Private for-profit","Four or more years"
"2020","120883","University of the Pacific","CA","Private not-for-profit","Four or more years"
"2020","488846","University of the People","CA","Private not-for-profit","Four or more years"
"2020","449870","University of the West","CA","Private not-for-profit","Four or more years"
"2020","484862","University of West Los Angeles","CA","Private for-profit","Four or more years"
"2020","123651","Vanguard University of Southern California","CA","Private not-for-profit","Four or more years"
"2020","441229","West Coast Ultrasound Institute","CA","Private for-profit","Four or more years"
"2020","489858","West Coast University-Center for Graduate Studies","CA","Private for-profit","Four or more years"
"2020","443331","West Coast University-Los Angeles","CA","Private for-profit","Four or more years"
"2020","458229","West Coast University-Ontario","CA","Private for-profit","Four or more years"
"2020","458210","West Coast University-Orange County","CA","Private for-profit","Four or more years"
"2020","125471","West Los Angeles College","CA","Public","Four or more years"
"2020","490133","Westcliff University","CA","Private for-profit","Four or more years"
"2020","112525","Western University of Health Sciences","CA","Private not-for-profit","Four or more years"
"2020","125718","Westminster Theological Seminary in California","CA","Private not-for-profit","Four or more years"
"2020","125727","Westmont College","CA","Private not-for-profit","Four or more years"
"2020","125763","Whittier College","CA","Private not-for-profit","Four or more years"
"2020","122728","William Jessup University","CA","Private not-for-profit","Four or more years"
"2020","125897","Woodbury University","CA","Private not-for-profit","Four or more years"
"2020","401223","World Mission University","CA","Private not-for-profit","Four or more years"
"2020","126076","Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary","CA","Private not-for-profit","Four or more years"
"2020","401250","Yo San University of Traditional Chinese Medicine","CA","Private not-for-profit","Four or more years"
"2020","126100","Yosemite Community College District Office","CA","Public","Four or more years"
"2020","458575","Zaytuna College","CA","Private not-for-profit","Four or more years"
"2020","142832","Adler University","IL","Private not-for-profit","Four or more years"
"2020","457527","Ambria College of Nursing","IL","Private for-profit","Four or more years"
"2020","142887","American Academy of Art","IL","Private not-for-profit","Four or more years"
"2020","142957","American Islamic College","IL","Private not-for-profit","Four or more years"
"2020","143084","Augustana College","IL","Private not-for-profit","Four or more years"
"2020","143118","Aurora University","IL","Private not-for-profit","Four or more years"
"2020","145619","Benedictine University","IL","Private not-for-profit","Four or more years"
"2020","443702","Bexley Hall Seabury Western Theological Seminary Federation, Inc.","IL","Private not-for-profit","Four or more years"
"2020","143288","Blackburn College","IL","Private not-for-profit","Four or more years"
"2020","143297","Blessing Rieman College of Nursing and Health Sciences","IL","Private not-for-profit","Four or more years"
"2020","143358","Bradley University","IL","Private not-for-profit","Four or more years"
"2020","143659","Catholic Theological Union at Chicago","IL","Private not-for-profit","Four or more years"
"2020","454218","Chamberlain University-Administrative Office","IL","Private for-profit","Four or more years"
"2020","454227","Chamberlain University-Illinois","IL","Private for-profit","Four or more years"
"2020","144005","Chicago State University","IL","Public","Four or more years"
"2020","144014","Chicago Theological Seminary","IL","Private not-for-profit","Four or more years"
"2020","144281","Columbia College Chicago","IL","Private not-for-profit","Four or more years"
"2020","144351","Concordia University-Chicago","IL","Private not-for-profit","Four or more years"
"2020","144740","DePaul University","IL","Private not-for-profit","Four or more years"
"2020","144777","DeVry University-Administrative Office","IL","Private for-profit","Four or more years"
"2020","482477","DeVry University-Illinois","IL","Private for-profit","Four or more years"
"2020","148496","Dominican University","IL","Private not-for-profit","Four or more years"
"2020","144883","East-West University","IL","Private not-for-profit","Four or more years"
"2020","144892","Eastern Illinois University","IL","Public","Four or more years"
"2020","144962","Elmhurst University","IL","Private not-for-profit","Four or more years"
