year,unitid,inst_name,state_abbr,level_of_study,enrollment_fall
"2020","119270","Musicians Institute","CA","Undergraduate","714"
"2020","119605","National University","CA","Graduate","9629"
"2020","119605","National University","CA","Undergraduate","8441"
"2020","119678","Naval Postgraduate School","CA","Graduate","2866"
"2020","461148","New York Film Academy","CA","Graduate","309"
"2020","461148","New York Film Academy","CA","Undergraduate","962"
"2020","119775","Newschool of Architecture and Design","CA","Graduate","96"
"2020","119775","Newschool of Architecture and Design","CA","Undergraduate","359"
"2020","444130","Northcentral University","CA","Graduate","12295"
"2020","444130","Northcentral University","CA","Undergraduate","176"
"2020","120166","Northwestern Polytechnic University","CA","Graduate","27"
"2020","120166","Northwestern Polytechnic University","CA","Undergraduate","6"
"2020","120184","Notre Dame de Namur University","CA","Graduate","374"
"2020","120184","Notre Dame de Namur University","CA","Undergraduate","211"
"2020","495059","Oak Valley College","CA","Undergraduate","59"
"2020","120254","Occidental College","CA","Undergraduate","1839"
"2020","120403","Otis College of Art and Design","CA","Graduate","43"
"2020","120403","Otis College of Art and Design","CA","Undergraduate","1030"
"2020","378576","Pacific College of Oriental Medicine-San Diego","CA","Graduate","795"
"2020","378576","Pacific College of Oriental Medicine-San Diego","CA","Undergraduate","172"
"2020","422695","Pacific College","CA","Graduate","9"
"2020","422695","Pacific College","CA","Undergraduate","240"
"2020","120768","Pacific Oaks College","CA","Graduate","742"
"2020","120768","Pacific Oaks College","CA","Undergraduate","496"
"2020","120795","Pacific School of Religion","CA","Graduate","100"
"2020","120838","Pacific States University","CA","Graduate","24"
"2020","120838","Pacific States University","CA","Undergraduate","2"
"2020","120865","Pacific Union College","CA","Graduate","4"
"2020","120865","Pacific Union College","CA","Undergraduate","955"
"2020","115746","Pacifica Graduate Institute","CA","Graduate","856"
"2020","120698","Palo Alto University","CA","Graduate","1087"
"2020","120698","Palo Alto University","CA","Undergraduate","76"
"2020","121628","Pardee RAND Graduate School","CA","Graduate","123"
"2020","495916","Pathways College","CA","Undergraduate","13"
"2020","439871","PCI College","CA","Undergraduate","140"
"2020","121150","Pepperdine University","CA","Graduate","6095"
"2020","121150","Pepperdine University","CA","Undergraduate","3459"
"2020","121257","Pitzer College","CA","Undergraduate","922"
"2020","490878","Platt College-Anaheim","CA","Undergraduate","452"
"2020","260789","Platt College-Los Angeles","CA","Undergraduate","717"
"2020","432384","Platt College-Ontario","CA","Undergraduate","522"
"2020","480204","Platt College-Riverside","CA","Undergraduate","512"
"2020","121275","Platt College-San Diego","CA","Undergraduate","96"
"2020","121309","Point Loma Nazarene University","CA","Graduate","1400"
"2020","121309","Point Loma Nazarene University","CA","Undergraduate","3216"
"2020","121345","Pomona College","CA","Undergraduate","1475"
"2020","490045","Presbyterian Theological Seminary in America","CA","Graduate","129"
"2020","490045","Presbyterian Theological Seminary in America","CA","Undergraduate","42"
"2020","486433","Presidio Graduate School","CA","Graduate","152"
"2020","455770","Providence Christian College","CA","Undergraduate","121"
"2020","492209","Reiss-Davis Graduate Center","CA","Graduate","47"
"2020","121886","Rio Hondo College","CA","Undergraduate","15692"
"2020","447458","SAE Expression College","CA","Undergraduate","182"
"2020","123554","Saint Mary's College of California","CA","Graduate","971"
"2020","123554","Saint Mary's College of California","CA","Undergraduate","2468"
"2020","122296","Samuel Merritt University","CA","Graduate","1314"
"2020","122296","Samuel Merritt University","CA","Undergraduate","736"
"2020","112084","San Diego Christian College","CA","Graduate","48"
"2020","112084","San Diego Christian College","CA","Undergraduate","464"
"2020","493512","San Diego Global Knowledge University","CA","Graduate","4"
"2020","493512","San Diego Global Knowledge University","CA","Undergraduate","89"
"2020","122375","San Diego Mesa College","CA","Undergraduate","20693"
"2020","122409","San Diego State University","CA","Graduate","4843"
"2020","122409","San Diego State University","CA","Undergraduate","31491"
"2020","122454","San Francisco Art Institute","CA","Graduate","15"
"2020","122454","San Francisco Art Institute","CA","Undergraduate","26"
"2020","122506","San Francisco Conservatory of Music","CA","Graduate","167"
"2020","122506","San Francisco Conservatory of Music","CA","Undergraduate","243"
"2020","122597","San Francisco State University","CA","Graduate","3325"
"2020","122597","San Francisco State University","CA","Undergraduate","24024"
"2020","122649","San Joaquin College of Law","CA","Graduate","183"
"2020","122685","San Joaquin Valley College-Visalia","CA","Undergraduate","1927"
"2020","122755","San Jose State University","CA","Graduate","8507"
"2020","122755","San Jose State University","CA","Undergraduate","27701"
"2020","481535","Sanford Burnham Prebys Medical Discovery Institute","CA","Graduate","26"
"2020","121619","Santa Ana College","CA","Undergraduate","20118"
"2020","122834","Santa Barbara Business College-Bakersfield","CA","Undergraduate","99"
"2020","122852","Santa Barbara Business College-Santa Maria","CA","Undergraduate","99"
"2020","122931","Santa Clara University","CA","Graduate","3008"
"2020","122931","Santa Clara University","CA","Undergraduate","5608"
